STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/17/2015,1.79,0,,,,24,1,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/18/2015,2.24,0.01,,,,29,-9,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/19/2015,15.21,0.51,,,,18,0,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/20/2015,13.42,0.37,,,,10,-7,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/21/2015,8.05,0.07,,,,25,-14,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/22/2015,5.59,0.01,,,,35,20,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/23/2015,15.21,0.55,,,,24,-3,,,1,,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/24/2015,7.83,0,,,,17,-10,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/25/2015,8.28,0,,,,28,3,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/26/2015,4.7,0,,,,19,9,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/27/2015,7.83,0,,,,19,3,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,2/28/2015,6.71,0,,,,22,1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/1/2015,2.46,0.11,,,,22,-6,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/2/2015,16.11,0.01,,,,27,16,,,1,,,,,,1,1,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/3/2015,6.04,0.29,,,,31,5,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/4/2015,8.05,0,,,,35,30,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/5/2015,11.41,0,,,,30,7,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/6/2015,4.92,0,,,,21,1,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/7/2015,4.47,0,,,,32,-4,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/8/2015,8.05,0.02,,,,34,17,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/9/2015,6.93,0,,,,41,12,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/10/2015,3.36,0.08,,,,48,17,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/11/2015,13.42,0,,,,46,34,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/12/2015,16.11,0,,,,36,21,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/13/2015,4.25,0,,,,38,13,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/14/2015,2.68,0.19,,,,38,29,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/15/2015,16.55,0,,,,37,27,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/16/2015,4.92,0,,,,42,25,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/17/2015,11.41,0.1,,,,40,23,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/18/2015,17,0,,,,26,14,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/19/2015,11.18,0,,,,30,13,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/20/2015,2.91,0.03,,,,28,15,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/21/2015,6.49,0.03,,,,38,23,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/22/2015,18.12,0,,,,30,13,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/23/2015,12.53,0,,,,23,11,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/24/2015,4.92,0,,,,35,9,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/25/2015,5.14,0.13,,,,45,13,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/26/2015,3.36,0.55,,,,44,35,,,1,1,1,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/27/2015,6.49,0.02,,,,38,31,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/28/2015,10.29,0,,,,31,20,,,1,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/29/2015,5.59,0,,,,36,14,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/30/2015,11.63,0.01,,,,40,22,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,3/31/2015,10.51,0,,,,40,28,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/1/2015,8.95,0,,,,41,24,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/2/2015,7.38,0,,,,60,20,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/3/2015,5.14,0.05,,,,60,39,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/4/2015,16.55,0.22,,,,42,29,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/5/2015,8.95,0,,,,37,29,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/6/2015,4.03,0,,,,57,30,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/7/2015,1.79,0.06,,,,45,37,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/8/2015,7.83,0.36,,,,39,32,,,1,,,,,1,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/9/2015,7.16,0.07,,,,35,30,,,1,,,,,1,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/10/2015,8.05,0.35,,,,53,33,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/11/2015,16.11,0,,,,45,32,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/12/2015,6.93,0,,,,64,33,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/13/2015,7.61,0,,,,70,30,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/14/2015,9.17,0.07,,,,62,41,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/15/2015,6.71,0,,,,62,35,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/16/2015,5.14,0,,,,65,28,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/17/2015,7.16,0.18,,,,58,43,,,1,1,,,,,,,
